recipe_id,source,ingredient
42,AIC,white wine
42,AIC,olive oil
42,AIC,onion
42,AIC,lamb stew meat
43,AIC,black pepper
43,AIC,salt
43,AIC,lemon juice
43,AIC,egg
43,AIC,carrot
43,AIC,onion
43,AIC,garlic
43,AIC,lamb
44,AIC,black pepper
44,AIC,salt
44,AIC,olive oil
44,AIC,rosemary
44,AIC,garlic
44,AIC,white wine
44,AIC,black truffle
44,AIC,lamb
45,AIC,fresh sage
45,AIC,cold water
45,AIC,meat broth
45,AIC,salt
45,AIC,rosemary
45,AIC,garlic
45,AIC,butter
45,AIC,olive oil
45,AIC,egg
45,AIC,veal brain
45,AIC,salami or sausage
45,AIC,grana padano
45,AIC,fresh seasonal vegetable
45,AIC,pork
45,AIC,fresh veal or young beef
45,AIC,egg yolk
45,AIC,wheat flour
46,AIC,salt
46,AIC,wild fennel
46,AIC,onion
46,AIC,white wine
46,AIC,olive oil
46,AIC,lamb
47,AIC,hot water
47,AIC,black pepper
47,AIC,salt
47,AIC,white wine
47,AIC,lemon juice
47,AIC,olive oil
47,AIC,egg
47,AIC,lamb
48,AIC,parmigiano cheese
48,AIC,lukewarm water
48,AIC,butter
48,AIC,olive oil
48,AIC,black pepper
48,AIC,salt
48,AIC,nutmeg
48,AIC,rosemary
48,AIC,sage
48,AIC,garlic
48,AIC,parmigiano cheese
48,AIC,egg
48,AIC,savoy cabbage leaf
48,AIC,white risotto
48,AIC,pork loin
48,AIC,veal rump
48,AIC,egg
48,AIC,wheat flour
49,AIC,ground cinnamon
49,AIC,smoked ricotta
49,AIC,parsley
49,AIC,sugar
49,AIC,orange zest
49,AIC,lemon zest
49,AIC,rum
49,AIC,dried fig
49,AIC,candied fruit
49,AIC,unsweetened cocoa powder
49,AIC,dark chocolate
49,AIC,peach jam
49,AIC,sultana raisin
49,AIC,dry biscuit
49,AIC,salt
49,AIC,egg
49,AIC,butter
49,AIC,wheat flour
50,AIC,broth
50,AIC,olive oil
50,AIC,water
50,AIC,garlic
50,AIC,basil
50,AIC,rosemary
50,AIC,sage
50,AIC,parmigiano cheese
50,AIC,butter
50,AIC,roast dripping
50,AIC,black pepper
50,AIC,salt
50,AIC,nutmeg
50,AIC,egg
50,AIC,grated parmigiano cheese
50,AIC,cabbage
50,AIC,sausage
50,AIC,pork neck
50,AIC,rabbit
50,AIC,veal neck
50,AIC,egg yolk
50,AIC,egg
50,AIC,wheat flour
51,AIC,broth
51,AIC,black pepper
51,AIC,salt
51,AIC,olive oil
51,AIC,parmigiano cheese
51,AIC,egg
51,AIC,escarole (endive)
51,AIC,spinach
51,AIC,onion
51,AIC,celery
51,AIC,carrot
51,AIC,rabbit leg
51,AIC,veal pulp
51,AIC,pork loin
51,AIC,egg
51,AIC,wheat flour
52,AIC,sugar
52,AIC,ground cinnamon
52,AIC,smoked ricotta
52,AIC,butter
52,AIC,lemon zest
52,AIC,black pepper
52,AIC,dried mint
52,AIC,butter
52,AIC,onion
52,AIC,ground cinnamon
52,AIC,sugar
52,AIC,sultana raisin
52,AIC,potato
52,AIC,water
52,AIC,salt
52,AIC,egg
52,AIC,wheat flour
53,AIC,salt
53,AIC,black pepper
53,AIC,red wine vinegar
53,AIC,parsley
53,AIC,bay leaf
53,AIC,thyme sprig
53,AIC,garlic
53,AIC,celery
53,AIC,carrot
53,AIC,scallion
53,AIC,olive oil
53,AIC,olive oil
53,AIC,wheat flour
53,AIC,agoni (lake shad)
54,AIC,salt
54,AIC,egg
54,AIC,parsley
54,AIC,breadcrumb
54,AIC,olive oil
54,AIC,caper
54,AIC,garlic
54,AIC,red wine vinegar
54,AIC,anchovy fillet
54,AIC,wheat flour
54,AIC,olive oil
54,AIC,agoni
55,AIC,salt
55,AIC,lemon
55,AIC,olive oil
55,AIC,wheat flour
55,AIC,egg
55,AIC,agoni (whitefish)
56,AIC,salt
56,AIC,unripe grape
57,AIC,honey
57,AIC,mosto cotto
57,AIC,white wine
57,AIC,red wine
57,AIC,sugar
57,AIC,almond
58,AIC,salt
58,AIC,parsley
58,AIC,garlic
58,AIC,breadcrumb
58,AIC,olive oil
58,AIC,anchovy
59,AIC,salt
59,AIC,olive oil
59,AIC,chili pepper
59,AIC,vinegar
59,AIC,garlic
59,AIC,parsley
59,AIC,anchovy
60,AIC,salt
60,AIC,wild thyme
60,AIC,red wine vinegar
60,AIC,olive oil
60,AIC,agoni (lake shad)
61,AIC,salt
61,AIC,olive oil
61,AIC,parsley
61,AIC,chili pepper
61,AIC,lemon
61,AIC,anchovy
62,AIC,black pepper
62,AIC,salt
62,AIC,parsley
62,AIC,olive oil
62,AIC,vinegar
62,AIC,oregano
62,AIC,garlic
62,AIC,anchovy
63,AIC,white pepper
63,AIC,salt
63,AIC,olive oil
63,AIC,parsley
63,AIC,garlic
63,AIC,lemon
63,AIC,anchovy
64,AIC,black pepper
64,AIC,salt
64,AIC,olive oil
64,AIC,parsley
64,AIC,egg
64,AIC,pecorino cheese
64,AIC,breadcrumb
64,AIC,anchovy
65,AIC,salt
65,AIC,olive oil
65,AIC,white endive
65,AIC,anchovy
66,AIC,olive oil
66,AIC,ground cinnamon
66,AIC,lemon zest
66,AIC,baking powder
66,AIC,olive oil
66,AIC,white wine
66,AIC,bitter almond
66,AIC,sweet almond
66,AIC,wheat flour
66,AIC,sugar
66,AIC,egg white
67,AIC,frying oil
67,AIC,black pepper
67,AIC,salt
67,AIC,bay leaf
67,AIC,olive oil
67,AIC,wheat flour
67,AIC,white wine vinegar
67,AIC,white onion
67,AIC,anchovy or sardine
68,AIC,whole almond
68,AIC,sugar
68,AIC,semolina
68,AIC,sugar
68,AIC,egg white
68,AIC,lemon zest
68,AIC,bitter almond
68,AIC,sweet almond
69,AIC,black pepper
69,AIC,salt
69,AIC,olive oil
69,AIC,vinegar
69,AIC,wheat flour
69,AIC,butter
69,AIC,white wine
69,AIC,sage
69,AIC,garlic
69,AIC,orange
69,AIC,duck
70,AIC,vanilla sugar
70,AIC,bitter armelline kernel
70,AIC,egg white
70,AIC,sweet almond
70,AIC,sugar
71,AIC,black pepper
71,AIC,salt
71,AIC,white wine
71,AIC,rosemary
71,AIC,bay leaf
71,AIC,olive oil
71,AIC,pancetta
71,AIC,duck
72,AIC,milk
72,AIC,broth
72,AIC,black pepper
72,AIC,salt
72,AIC,sage
72,AIC,rosemary
72,AIC,olive oil
72,AIC,nutmeg
72,AIC,hard-boiled egg
72,AIC,garlic
72,AIC,parsley
72,AIC,breadcrumb
72,AIC,rice
72,AIC,onion
72,AIC,lardo
72,AIC,pancetta
72,AIC,salsiccia
72,AIC,veal
72,AIC,white wine
72,AIC,pork
72,AIC,duck
73,AIC,olive oil
73,AIC,black pepper
73,AIC,salt
73,AIC,juniper berry
73,AIC,marjoram
73,AIC,thyme
73,AIC,bay leaf
73,AIC,sage
73,AIC,rosemary
73,AIC,garlic
73,AIC,onion
73,AIC,carrot
73,AIC,celery
73,AIC,white wine
73,AIC,duck
74,AIC,black pepper
74,AIC,salt
74,AIC,turnip
74,AIC,duck
75,AIC,water
75,AIC,black pepper
75,AIC,salt
75,AIC,tomato paste
75,AIC,ground cinnamon
75,AIC,olive oil
75,AIC,white wine
75,AIC,bay leaf
75,AIC,carrot
75,AIC,celery
75,AIC,onion
75,AIC,duck
76,AIC,black pepper
76,AIC,salt
76,AIC,garlic
76,AIC,olive oil
76,AIC,white wine
76,AIC,wild fennel
76,AIC,potato
76,AIC,duck
77,AIC,butter
77,AIC,salt and pepper
77,AIC,breadcrumb
77,AIC,olive oil
77,AIC,sugar
77,AIC,carrot
77,AIC,celery heart
77,AIC,white wine
77,AIC,onion
77,AIC,grated caciocavallo
77,AIC,primo sale cheese
77,AIC,shelled pea
77,AIC,tomato paste
77,AIC,ground veal pulp
77,AIC,anelletti pasta
78,AIC,black pepper
78,AIC,salt
78,AIC,parsley
78,AIC,white wine
78,AIC,olive oil
78,AIC,garlic
78,AIC,bell pepper
78,AIC,desalted salted cod fillet
78,AIC,fresh anellini pasta
79,AIC,salt
79,AIC,vinegar
79,AIC,bay leaf
79,AIC,large eel
80,AIC,black pepper
80,AIC,salt
80,AIC,olive oil
80,AIC,red wine vinegar
80,AIC,bread
80,AIC,parsley
80,AIC,garlic
80,AIC,bay leaf
80,AIC,eel
81,AIC,black pepper
81,AIC,salt
81,AIC,parsley
81,AIC,friulano wine
81,AIC,nutmeg
81,AIC,red wine vinegar
81,AIC,olive oil
81,AIC,amoli
81,AIC,juniper berry
81,AIC,bay leaf
81,AIC,garlic
81,AIC,tomato paste
81,AIC,tomato
81,AIC,river eel
82,AIC,black pepper
82,AIC,salt
82,AIC,bay leaf
82,AIC,white wine
82,AIC,eel
83,AIC,black pepper
83,AIC,salt
83,AIC,bay leaf
83,AIC,thyme
83,AIC,white wine
83,AIC,tomato pulp
83,AIC,olive oil
83,AIC,scallion
83,AIC,bell pepper
83,AIC,eel
84,AIC,black pepper
84,AIC,salt
84,AIC,olive oil
84,AIC,wheat flour
84,AIC,friulano wine
84,AIC,bay leaf
84,AIC,parsley
84,AIC,garlic
84,AIC,sage
84,AIC,eel
85,AIC,salt
85,AIC,olive oil
85,AIC,dried borlotti bean
85,AIC,tomato
85,AIC,sage
85,AIC,white wine
85,AIC,eel
86,AIC,black pepper
86,AIC,salt
86,AIC,breadcrumb
86,AIC,bay leaf
86,AIC,olive oil
86,AIC,lemon
86,AIC,vinegar
86,AIC,eel
87,AIC,salt
87,AIC,bay leaf
87,AIC,eel
88,AIC,black pepper
88,AIC,salt
88,AIC,water
88,AIC,vinegar
88,AIC,white wine
88,AIC,olive oil
88,AIC,butter
88,AIC,peeled tomato
88,AIC,onion
88,AIC,savoy cabbage
88,AIC,eel
89,AIC,black pepper
89,AIC,salt
89,AIC,wheat flour
89,AIC,bay leaf
89,AIC,onion
89,AIC,peeled tomato
89,AIC,olive oil
89,AIC,broth
89,AIC,white wine
89,AIC,pea
89,AIC,eel
90,AIC,salt
90,AIC,water
90,AIC,seed oil
90,AIC,wheat flour
90,AIC,vinegar
90,AIC,eel
91,AIC,olive oil
91,AIC,salt
91,AIC,vinegar
91,AIC,wheat flour
91,AIC,black pepper
91,AIC,garlic
91,AIC,sage
91,AIC,borettane onion
91,AIC,carrot
91,AIC,celery
91,AIC,eel
92,AIC,salt
92,AIC,clove
92,AIC,garlic
92,AIC,white wine
92,AIC,white wine vinegar
92,AIC,white pepper
92,AIC,bay leaf
92,AIC,olive oil
92,AIC,eel
93,AIC,black pepper
93,AIC,salt
93,AIC,vinegar
93,AIC,wheat flour
93,AIC,rosemary
93,AIC,sage
93,AIC,bay leaf
93,AIC,garlic
93,AIC,olive oil
93,AIC,butter
93,AIC,peeled tomato
93,AIC,parsley
93,AIC,carrot
93,AIC,celery
93,AIC,onion
93,AIC,pea
93,AIC,eel
94,AIC,black pepper
94,AIC,salt
94,AIC,olive oil
94,AIC,wheat flour
94,AIC,sage
94,AIC,bay leaf
94,AIC,garlic
94,AIC,red wine vinegar
94,AIC,eel
95,AIC,water
95,AIC,salt
95,AIC,bay leaf
95,AIC,aged vernaccia di oristano
95,AIC,olive oil
95,AIC,onion
95,AIC,sun-dried tomato
95,AIC,garlic
95,AIC,raisin
95,AIC,eel
96,AIC,black pepper
96,AIC,salt
96,AIC,wheat flour
96,AIC,olive oil
96,AIC,seed oil
96,AIC,onion
96,AIC,celery
96,AIC,carrot
96,AIC,garlic
96,AIC,sage
96,AIC,tomato paste
96,AIC,tomato
96,AIC,eel
97,AIC,salt
97,AIC,salt
97,AIC,bay leaf
97,AIC,medium eel
98,AIC,warm water
98,AIC,black pepper
98,AIC,salt
98,AIC,saffron
98,AIC,prosciutto
98,AIC,pea
98,AIC,wheat flour
98,AIC,milk
98,AIC,butter
98,AIC,sweetbread
99,AIC,garlic
99,AIC,olive oil
99,AIC,peeled tomato
99,AIC,salt
99,AIC,chili pepper
99,AIC,onion
99,AIC,olive oil
99,AIC,lard
99,AIC,wild chicory
99,AIC,eel
100,AIC,black pepper
100,AIC,salt
100,AIC,olive oil
100,AIC,chili pepper
100,AIC,onion
100,AIC,garlic
100,AIC,bay leaf
100,AIC,sage
100,AIC,tomato
100,AIC,eel
101,AIC,parmigiano cheese
101,AIC,beef or capon broth
101,AIC,black pepper
101,AIC,salt
101,AIC,nutmeg
101,AIC,tomato sauce
101,AIC,red wine
101,AIC,ground cinnamon
101,AIC,clove
101,AIC,garlic
101,AIC,onion
101,AIC,carrot
101,AIC,celery
101,AIC,egg
101,AIC,parmigiano cheese
101,AIC,breadcrumb
101,AIC,butter
101,AIC,beef thigh
101,AIC,egg
101,AIC,wheat flour
102,AIC,parsley
102,AIC,salt
102,AIC,vinegar
102,AIC,olive oil
102,AIC,garlic
102,AIC,sun-dried tomato
102,AIC,tomato
102,AIC,eel
103,AIC,butter
103,AIC,black pepper
103,AIC,salt
103,AIC,white wine
103,AIC,herbs
103,AIC,onion
103,AIC,garlic
103,AIC,egg
103,AIC,milk
103,AIC,bread roll
103,AIC,olive oil
103,AIC,fatty sausage
103,AIC,pancetta
103,AIC,pork liver
103,AIC,duck
104,AIC,onion
104,AIC,carrot
104,AIC,celery
104,AIC,pork bones and rib
104,AIC,veal tail
104,AIC,beef
104,AIC,hen
104,AIC,broth
104,AIC,red wine
104,AIC,nutmeg
104,AIC,black pepper
104,AIC,salt
104,AIC,garlic
104,AIC,onion
104,AIC,carrot
104,AIC,celery
104,AIC,egg
104,AIC,butter
104,AIC,grana padano
104,AIC,breadcrumb
104,AIC,beef pulp
104,AIC,water
104,AIC,egg
104,AIC,wheat flour
105,AIC,salt
105,AIC,semi-aged pecorino sardo
105,AIC,garlic
105,AIC,sun-dried tomato
105,AIC,eel
106,AIC,white wine vinegar
106,AIC,garlic
106,AIC,caper
106,AIC,salted anchovy
106,AIC,parsley
106,AIC,tuna in oil
106,AIC,olive oil
106,AIC,lemon
106,AIC,sole
106,AIC,scampi
106,AIC,squid
107,AIC,moscato wine
107,AIC,sour cherry jam
107,AIC,dark chocolate
107,AIC,candied citron and orange
107,AIC,raisin
107,AIC,untreated lemon
107,AIC,marsala wine
107,AIC,dark rum
107,AIC,egg yolk
107,AIC,vanilla sugar
107,AIC,whipped cream
107,AIC,sheep's milk ricotta
108,AIC,olive oil
108,AIC,salt
108,AIC,water
108,AIC,sugar
108,AIC,orange honey
108,AIC,orange zest
109,AIC,salt
109,AIC,olive oil
109,AIC,anchovy in oil
109,AIC,orange
110,AIC,almond
110,AIC,honey
110,AIC,orange zest
111,AIC,black pepper
111,AIC,salt
111,AIC,white wine
111,AIC,tomato paste
111,AIC,tomato sauce
111,AIC,celery
111,AIC,carrot
111,AIC,onion
111,AIC,shelled pea
111,AIC,ground beef
111,AIC,olive oil
111,AIC,breadcrumb
111,AIC,saffron
111,AIC,egg
111,AIC,butter
111,AIC,caciocavallo
111,AIC,caciocavallo
111,AIC,arborio rice
112,AIC,black pepper
112,AIC,salt
112,AIC,olive oil
112,AIC,breadcrumb
112,AIC,wild fennel
112,AIC,milk
112,AIC,egg
112,AIC,sheep's milk ricotta
112,AIC,pecorino cheese
112,AIC,polenta flour
112,AIC,chard leaf
112,AIC,scallion
113,AIC,white wine
113,AIC,egg
113,AIC,wheat flour
113,AIC,olive oil
113,AIC,argentine
114,AIC,black pepper
114,AIC,salt
114,AIC,sage
114,AIC,parsley
114,AIC,egg
114,AIC,cream
114,AIC,milk
114,AIC,butter
114,AIC,prosciutto cotto
114,AIC,pancetta
114,AIC,pecorino cheese
114,AIC,dried mushroom
114,AIC,potato flour
114,AIC,chestnut flour
115,AIC,black pepper
115,AIC,salt
115,AIC,wheat flour
115,AIC,olive oil
115,AIC,rosemary
115,AIC,sage
115,AIC,garlic
115,AIC,white wine
115,AIC,milk
115,AIC,pork loin
116,AIC,black pepper
116,AIC,salt
116,AIC,onion
116,AIC,sparkling wine
116,AIC,olive oil
116,AIC,butter
116,AIC,pork caul fat (omento)
116,AIC,veal kidney
116,AIC,veal loin
117,AIC,salt and pepper
117,AIC,olive oil
117,AIC,rosemary
117,AIC,garlic
117,AIC,pork loin (bone-in)
118,AIC,salt
118,AIC,wheat flour
118,AIC,milk
118,AIC,butter
118,AIC,prosciutto crudo
118,AIC,veal rump
119,AIC,black pepper
119,AIC,salt
119,AIC,oregano
119,AIC,olive oil
119,AIC,breadcrumb
119,AIC,veal cutlet
120,AIC,black pepper
120,AIC,salt
120,AIC,olive oil
120,AIC,broth
120,AIC,red wine
120,AIC,bay leaf
120,AIC,celery
120,AIC,carrot
120,AIC,onion
120,AIC,veal pulp
121,AIC,black pepper
121,AIC,salt
121,AIC,white wine
121,AIC,olive oil
121,AIC,garlic
121,AIC,parsley
121,AIC,arselle clam
122,AIC,olive oil
122,AIC,salt
122,AIC,white wine
122,AIC,breadcrumb
122,AIC,parsley
122,AIC,garlic
122,AIC,wedge clam
123,AIC,black pepper
123,AIC,salt
123,AIC,parmigiano cheese
123,AIC,egg
123,AIC,butter
123,AIC,green asparagus
124,AIC,black pepper
124,AIC,salt
124,AIC,butter
124,AIC,parmigiano cheese
124,AIC,green asparagus
125,AIC,black pepper
125,AIC,salt
125,AIC,egg yolk
125,AIC,butter
125,AIC,milk
125,AIC,fontina
125,AIC,asparagus
126,AIC,salt
126,AIC,butter
126,AIC,parmigiano cheese
126,AIC,egg
126,AIC,white asparagus
127,AIC,black pepper
127,AIC,salt
127,AIC,mustard
127,AIC,giardiniera
127,AIC,caper
127,AIC,garlic
127,AIC,parsley
127,AIC,salted anchovy
127,AIC,olive oil
127,AIC,vinegar
127,AIC,lemon
127,AIC,egg
127,AIC,green asparagus
128,AIC,black pepper
128,AIC,salt
128,AIC,olive oil
128,AIC,lemon juice
128,AIC,caper
128,AIC,anchovy fillet
128,AIC,hard-boiled egg
128,AIC,bassano asparagus
129,AIC,salt
129,AIC,lemon
129,AIC,gelatin
129,AIC,tongue
129,AIC,pistachio
129,AIC,cockerel comb
129,AIC,sweetbread
130,AIC,salt
130,AIC,white wine vinegar
130,AIC,olive oil
130,AIC,wild asparagus
131,AIC,black pepper
131,AIC,salt
131,AIC,olive oil
131,AIC,tomato paste
131,AIC,garlic
131,AIC,white wine
131,AIC,wild asparagus
132,AIC,black pepper
132,AIC,salt
132,AIC,olive oil
132,AIC,wheat flour
132,AIC,rosemary
132,AIC,parsley
132,AIC,garlic
132,AIC,white onion
132,AIC,tomato
132,AIC,salted cod
133,AIC,water
133,AIC,rum
133,AIC,sugar
133,AIC,brewer's yeast
133,AIC,milk
133,AIC,egg
133,AIC,butter
133,AIC,wheat flour
134,AIC,salt
134,AIC,white wine vinegar
134,AIC,olive oil
134,AIC,white wine
134,AIC,bay leaf
134,AIC,parsley
134,AIC,garlic
134,AIC,breadcrumb
134,AIC,salted cod
135,AIC,black pepper
135,AIC,salt
135,AIC,wheat flour
135,AIC,lemon
135,AIC,olive oil
135,AIC,butter
135,AIC,parsley
135,AIC,garlic
135,AIC,soaked salted cod
136,AIC,black pepper
136,AIC,salt
136,AIC,parmigiano cheese
136,AIC,butter
136,AIC,egg
136,AIC,green asparagus
137,AIC,black pepper
137,AIC,salt
137,AIC,breadcrumb
137,AIC,olive oil
137,AIC,tomato sauce
137,AIC,onion
137,AIC,salted cod
138,AIC,black pepper
138,AIC,salt
138,AIC,parsley
138,AIC,vinegar
138,AIC,olive oil
138,AIC,soaked baccalà
139,AIC,black pepper
139,AIC,salt
139,AIC,olive oil
139,AIC,white wine
139,AIC,onion
139,AIC,celery
139,AIC,passolina raisin
139,AIC,pine nut
139,AIC,caper
139,AIC,green olive
139,AIC,tomato sauce
139,AIC,potato
139,AIC,salted cod
140,AIC,black pepper
140,AIC,salt
140,AIC,parsley
140,AIC,grated parmigiano cheese
140,AIC,olive oil
140,AIC,milk
140,AIC,onion
140,AIC,garlic
140,AIC,potato
140,AIC,celeriac
140,AIC,baccalà (soaked stockfish)
141,AIC,black pepper
141,AIC,salt
141,AIC,wheat flour
141,AIC,olive oil
141,AIC,parmigiano cheese
141,AIC,parsley
141,AIC,milk
141,AIC,anchovy fillet
