recipe_id,source,name,original_name,original_title,category,region,city,servings,step_count,ingredient_count,tool_count
18,AIC,Lamb 'a Cutturiello',agnello a cutturiello,agnello a cutturiello,"Meat, poultry and game",Basilicata,,4.0,5,9,4
19,AIC,Lamb with Artichokes,agnello ai carciofi,agnello ai carciofi,"Meat, poultry and game",Sardegna,,6.0,6,7,2
20,AIC,Agliata,agliata,agliata,Sauces,Sardegna,Sassari,4.0,6,8,4
21,AIC,agliata,agliata,agliata,Sauces,Abruzzo,,4.0,2,7,2
22,AIC,Lamb with Cauliflower,agnello al cavolfiore,agnello al cavolfiore,"Meat, poultry and game",Sardegna,,6.0,5,10,1
23,AIC,Ligurian agliata,agliata ligure,agliata ligure,Sauces,Liguria,,4.0,2,4,2
24,AIC,Fried Dogfish with Agliata,agliata di gattucci fritti,agliata di gattucci fritti,Appetizers,Sardegna,,6.0,5,3,5
25,AIC,Sardinian Garlic Sauce (Agliata Sarda),agliata sarda,agliata sarda,Sauces,Sardegna,Carloforte,6.0,3,6,1
26,AIC,Maremmana Acquacotta,acquacotta maremmana,acquacotta maremmana,Soups and broths,Toscana,Grosseto,6.0,7,10,5
27,AIC,Tolfetana-style Acquacotta,acquacotta tolfetana,acquacotta tolfetana,Soups and broths,Lazio,Civitavecchia,4.0,7,16,5
28,AIC,Acquasale,acquasale,acquasale,Appetizers,Puglia,,4.0,5,10,2
29,AIC,Acquasale,acquasale,acquasale,Soups and broths,Basilicata,,4.0,7,8,4
30,AIC,Africanetti of San Giovanni,africanetti di san giovanni,africanetti di san giovanni,Desserts and liqueurs,Emilia Romagna,Ferrara,6.0,5,5,4
31,AIC,Aggrassatu,aggrassatu,aggrassatu,"Meat, poultry and game",Sicilia,Palermo,6.0,8,6,4
32,AIC,Affogagatti,affogagatti,affogagatti,Desserts and liqueurs,Puglia,Lecce,10.0,8,11,4
33,AIC,Lamb with potatoes,agnello con patate,agnello con patate,"Meat, poultry and game",Puglia,Foggia,6.0,6,8,4
34,AIC,Lamb with muscari (lampascioni),agnello con muscari,agnello con muscari,"Meat, poultry and game",Molise,"Campobasso, Termoli",4.0,7,11,3
35,AIC,Lamb with Cheese and Eggs (Agnello Cacio e Uova),agnello cacio e uova,agnello cacio e uova,"Meat, poultry and game",Abruzzo,,4.0,5,12,4
36,AIC,Lamb with Olives,agnello con olive,agnello con olive,"Meat, poultry and game",Sardegna,Alghero,6.0,6,10,3
37,AIC,Lamb with cardoncelli mushrooms,agnello con i funghi cardoncelli,agnello con i funghi cardoncelli,"Meat, poultry and game",Basilicata,,4.0,5,7,4
38,AIC,Easter Lamb,agnello di pasqua,agnello di pasqua,"Meat, poultry and game",Puglia,,6.0,8,10,2
39,AIC,Lamb with Saffron,agnello allo zafferano,agnello allo zafferano,"Meat, poultry and game",Sardegna,Oristano,4.0,4,8,1
40,AIC,Lamb cooked in a testo,agnello al testo,agnello al testo,"Meat, poultry and game",Toscana,Pontremoli,6.0,5,9,4
41,AIC,White Lamb Stew (Agnello in Bianco),agnello in bianco,agnello in bianco,"Meat, poultry and game",Sardegna,Campidano di Cagliari,6.0,8,11,5
42,AIC,Lamb with cheese and eggs,agnello formaggio e uova,agnello formaggio e uova,"Meat, poultry and game",Campania,,4.0,8,12,4
43,AIC,Fricassee lamb,agnello in fricassea,agnello in fricassea,"Meat, poultry and game",Umbria,,4.0,4,8,2
44,AIC,Truffled Lamb,agnello tartufato,agnello tartufato,"Meat, poultry and game",Umbria,,4.0,7,8,4
45,AIC,Agnolotti Turin-style,agnolotti alla torinese,agnolotti alla torinese,"Pasta, rice and polenta",Piemonte,,8.0,11,17,12
46,AIC,Lamb with wild fennel,agnello al finocchietto selvatico,agnello al finocchietto selvatico,"Meat, poultry and game",Sardegna,"Sassari, Nurra",4.0,8,6,1
47,AIC,Agnello Brodettato (Lamb in Egg and Lemon Sauce),agnello brodettato,agnello brodettato,"Meat, poultry and game",Lazio,Civitavecchia,4.0,6,8,5
48,AIC,Agnolotti Canavese Style,agnolotti alla canavesana,agnolotti alla canavesana,"Pasta, rice and polenta",Piemonte,,8.0,9,16,6
49,AIC,agnolotti di paularo,agnolotti di paularo,agnolotti di paularo,"Pasta, rice and polenta",Friuli Venezia Giulia,,6.0,10,18,13
50,AIC,Agnolotti Gobbi Astigiani,agnolotti gobbi astigiani,agnolotti gobbi astigiani,"Pasta, rice and polenta",Piemonte,,12.0,9,22,9
51,AIC,agnolotti del plin,agnolotti del plin,agnolotti del plin,"Pasta, rice and polenta",Piemonte,,8.0,15,15,7
52,AIC,Agnolotti di Timau (Cjalsòn),agnolotti di timau,agnolotti di timau,"Pasta, rice and polenta",Friuli Venezia Giulia,,4.0,10,14,10
53,AIC,Agoni in Carpione (Pickled Lake Fish),agoni in carpione,agoni in carpione,Fish and seafood,Lombardia,,6.0,7,13,5
54,AIC,Agoni in green sauce,agoni in salsa verde,agoni in salsa verde,Fish and seafood,Lombardia,,4.0,8,11,5
55,AIC,Fried Agoni,agoni fritti,agoni fritti,Fish and seafood,Umbria,,4.0,5,6,1
56,AIC,Agresto,agresto,agresto,Sauces,Toscana,,,5,2,3
57,AIC,agrodolce,agrodolce,agrodolce,Desserts and liqueurs,Molise,Riccia,8.0,3,6,3
58,AIC,Baked anchovies,alici al forno,alici al forno,Fish and seafood,Lazio,Civitavecchia,4.0,5,6,4
59,AIC,Anchovies with vinegar or lemon,alici all’aceto o al limone,alici all’aceto o al limone,Appetizers,Lazio,Civitavecchia,4.0,8,7,2
60,AIC,Agoni alla navet,agoni alla navet,agoni alla navet,Fish and seafood,Lombardia,,4.0,6,5,6
61,AIC,Marinated anchovies,alici marinate,alici marinate,Appetizers,Campania,,4.0,5,6,2
62,AIC,Anchovies with oregano (Alici arraganate all'origano),alici arraganate all’origano,alici arraganate all’origano,Fish and seafood,Campania,,4.0,3,8,2
63,AIC,marinated anchovies,alici marinate,alici marinate,Appetizers,Marche,,4.0,3,7,1
64,AIC,Alici in tortiera,alici in tortiera,alici in tortiera,Fish and seafood,Puglia,,4.0,5,8,5
65,AIC,Anchovies with Endive (Jewish Recipe),aliciotti con indivia (ricetta ebraica),aliciotti con indivia (ricetta ebraica),Fish and seafood,Lazio,Roma,4.0,4,4,2
66,AIC,amaretti,amaretti,amaretti,Desserts and liqueurs,Abruzzo,,8.0,6,10,7
67,AIC,Anchovies or sardines in savor,alici o sardoni in savor,alici o sardoni in savor,Appetizers,Friuli Venezia Giulia,,4.0,9,9,4
68,AIC,Amarettus,amarettus,amarettus,Desserts and liqueurs,Sardegna,,6.0,7,7,7
69,AIC,Duck with orange,anatra all’arancia,anatra all’arancia,"Meat, poultry and game",Toscana,,4.0,7,11,6
70,AIC,Sassello Amaretti,amaretti del sassello,amaretti del sassello,Desserts and liqueurs,Liguria,,10.0,8,5,6
71,AIC,Roast Duck,anatra al forno,anatra al forno,"Meat, poultry and game",Friuli Venezia Giulia,,4.0,6,8,4
72,AIC,Stuffed Duck,anatra farcita,anatra farcita,"Meat, poultry and game",Piemonte,Novara,6.0,6,21,8
73,AIC,Duck in Salmì,anatra in salmì,anatra in salmì,"Meat, poultry and game",Friuli Venezia Giulia,San Giorgio della Richinvelda,6.0,7,15,5
74,AIC,Duck with turnips,anatra con le rape,anatra con le rape,"Meat, poultry and game",Friuli Venezia Giulia,"Gorizia, Collio, Carso",4.0,5,4,3
75,AIC,Braised Duck,anatra in tegame,anatra in tegame,"Meat, poultry and game",Friuli Venezia Giulia,Azzano Decimo,4.0,6,12,5
76,AIC,Muscovy duck in porchetta style,anatra muta in porchetta,anatra muta in porchetta,"Meat, poultry and game",Umbria,,4.0,5,8,3
77,AIC,Baked anelletti,anelletti al forno,anelletti al forno,"Pasta, rice and polenta",Sicilia,Palermo,6.0,9,15,7
78,AIC,Anellini with salt cod and roasted peppers,anellini con baccalà e peperoni arrostiti,anellini con baccalà e peperoni arrostiti,"Pasta, rice and polenta",Abruzzo,,4.0,5,9,7
79,AIC,Muranese-style eel,anguilla alla muranese,anguilla alla muranese,Fish and seafood,Veneto,,4.0,4,4,2
80,AIC,Grilled or Skewered Eel,anguilla ai ferri o allo spiedo,anguilla ai ferri o allo spiedo,Fish and seafood,Emilia Romagna,,4.0,7,9,4
81,AIC,Eel with Amoli (Cherry Plums),anguilla con gli amoli,anguilla con gli amoli,Fish and seafood,Friuli Venezia Giulia,Azzano Decimo,4.0,9,14,3
82,AIC,Spit-roasted eel,anguilla allo spiedo,anguilla allo spiedo,Fish and seafood,Friuli Venezia Giulia,Marano Lagunare,4.0,5,5,5
83,AIC,Umbrian-style eel,anguilla alla umbra,anguilla alla umbra,Fish and seafood,Umbria,,4.0,8,10,4
84,AIC,Mulinet eel,anguilla del mulinet,anguilla del mulinet,Fish and seafood,Friuli Venezia Giulia,Polcenigo,4.0,9,10,3
85,AIC,Eel with borlotti beans,anguilla con i fagioli borlotti,anguilla con i fagioli borlotti,Fish and seafood,Lombardia,,4.0,6,7,4
86,AIC,Spit-roasted eel,anguilla allo spiedo,anguilla allo spiedo,Fish and seafood,Umbria,,4.0,6,8,3
87,AIC,Spit-roasted eel,anguilla allo spiedo,anguilla allo spiedo,Fish and seafood,Marche,,4.0,5,3,4
88,AIC,Eel with savoy cabbage,anguilla con le verze,anguilla con le verze,Fish and seafood,Emilia Romagna,,4.0,8,11,3
89,AIC,Stewed Eel with Peas,anguilla in umido coi piselli,anguilla in umido coi piselli,Fish and seafood,Veneto,,4.0,5,11,3
90,AIC,Fried Eel,anguilla fritta,anguilla fritta,Fish and seafood,Veneto,Treviso,4.0,4,6,3
91,AIC,Eel in carpione,anguilla in carpione,anguilla in carpione,Fish and seafood,Lombardia,,4.0,6,11,5
92,AIC,Marinated eel,anguilla marinata,anguilla marinata,Fish and seafood,Piemonte,,4.0,5,9,7
93,AIC,Stewed eel with peas,anguilla in umido con piselli,anguilla in umido con piselli,Fish and seafood,Emilia Romagna,,4.0,5,17,5
94,AIC,Marinated eel,anguilla marinata,anguilla marinata,Fish and seafood,Emilia Romagna,,4.0,7,9,8
95,AIC,Eels Cabras-style,anguille alla cabrarese,anguille alla cabrarese,Appetizers,Sardegna,,6.0,8,10,4
96,AIC,Giovese-style Eels,anguille alla giovese,anguille alla giovese,Fish and seafood,Toscana,,4.0,5,13,4
97,AIC,Spit-roasted eels,anguille allo spiedo,anguille allo spiedo,Fish and seafood,Sardegna,Cagliari,4.0,5,3,2
98,AIC,Saffron sweetbreads with peas,animelle allo zafferano con piselli,animelle allo zafferano con piselli,"Meat, poultry and game",Abruzzo,,4.0,8,10,1
99,AIC,Eels with Wild Chicory,anguille con la cicoria di campo,anguille con la cicoria di campo,Fish and seafood,Campania,,4.0,4,9,6
100,AIC,Eels 'in ginocchioni',anguille in ginocchioni,anguille in ginocchioni,Fish and seafood,Toscana,,4.0,5,10,2
101,AIC,Parmesan-style anolini,anolini parmigiani,anolini parmigiani,Soups and broths,Emilia Romagna,,4.0,12,18,9
102,AIC,Stewed Eels,anguille in umido,anguille in umido,Fish and seafood,Sardegna,,4.0,6,8,5
103,AIC,Stuffed Duck,anitra ripiena,anitra ripiena,"Meat, poultry and game",Veneto,,4.0,5,15,6
104,AIC,anolini piacentini,anolini piacentini,anolini piacentini,Soups and broths,Emilia Romagna,,4.0,14,20,8
105,AIC,Anguilline with pecorino cheese,anguilline al pecorino,anguilline al pecorino,Fish and seafood,Sardegna,Cagliari,4.0,4,5,5
106,AIC,Giulianova-style appetizer,antipasto alla giuliese,antipasto alla giuliese,Appetizers,Abruzzo,Giulianova,4.0,7,11,4
107,AIC,ancient seiràss cup,antica coppa di seiràss,antica coppa di seiràss,Desserts and liqueurs,Piemonte,,4.0,4,12,5
108,AIC,Aranciata,aranciata,aranciata,Desserts and liqueurs,Sicilia,Modica,4.0,9,6,4
109,AIC,Orange Appetizer,antipasto di arance,antipasto di arance,Appetizers,Molise,,4.0,2,4,2
110,AIC,Aranciata di Nuoro,aranciata di nuoro,aranciata di nuoro,Desserts and liqueurs,Sardegna,,4.0,7,3,5
111,AIC,Arancine di riso,arancine di riso,arancine di riso,Appetizers,Sicilia,,12.0,7,17,4
112,AIC,Arbadela,arbadela,arbadela,Pizzas and savory pies,Toscana,,4.0,4,12,4
113,AIC,Fried Argentine,argentine fritte,argentine fritte,Fish and seafood,Lazio,Civitavecchia,4.0,4,5,1
114,AIC,Armisdo Montanaro,armisdo montanaro,armisdo montanaro,"Pasta, rice and polenta",Emilia Romagna,,4.0,6,14,3
115,AIC,Pork Roast with Milk,arrosto di maiale al latte,arrosto di maiale al latte,"Meat, poultry and game",Trentino Alto Adige,,4.0,7,10,3
116,AIC,Roast Veal and Kidney,arrosto di vitello e rognone,arrosto di vitello e rognone,"Meat, poultry and game",Trentino Alto Adige,,6.0,5,9,4
117,AIC,Florentine-style pork loin (Arista alla Fiorentina),arista alla fiorentina,arista alla fiorentina,"Meat, poultry and game",Toscana,,6.0,6,5,5
118,AIC,Veal roast with milk,arrosto di vitello al latte,arrosto di vitello al latte,"Meat, poultry and game",Lombardia,,4.0,6,6,1
119,AIC,Palermo-style breaded veal cutlets,arrosto panato alla palermitana,arrosto panato alla palermitana,"Meat, poultry and game",Sicilia,,4.0,3,6,4
120,AIC,Arrosto Morto,arrosto morto,arrosto morto,"Meat, poultry and game",Toscana,,4.0,6,10,4
121,AIC,Arselle alla marinara,arselle alla marinara,arselle alla marinara,Fish and seafood,Liguria,,4.0,5,7,1
122,AIC,Cagliari-style Wedge Clams,arselle alla cagliaritana,arselle alla cagliaritana,Appetizers,Sardegna,,6.0,8,7,5
123,AIC,Florentine-style asparagus,asparagi alla fiorentina,asparagi alla fiorentina,"Vegetables, eggs and legumes",Toscana,,4.0,5,6,4
124,AIC,Asparagi alla Parmigiana,asparagi alla parmigiana,asparagi alla parmigiana,"Vegetables, eggs and legumes",Emilia Romagna,,4.0,6,5,6
125,AIC,Asparagus with fonduta,asparagi con fonduta,asparagi con fonduta,"Vegetables, eggs and legumes",Piemonte,,4.0,5,7,9
126,AIC,Asparagus with 'cereghin' eggs,asparagi con uova in cereghin,asparagi con uova in cereghin,"Vegetables, eggs and legumes",Lombardia,,4.0,4,5,4
127,AIC,Asparagus with tartar sauce,asparagi con la salsa tartara,asparagi con la salsa tartara,"Vegetables, eggs and legumes",Piemonte,,4.0,7,13,6
128,AIC,Bassano asparagus with hard-boiled egg sauce,asparagi di bassano con salsa di uova sode,asparagi di bassano con salsa di uova sode,"Vegetables, eggs and legumes",Veneto,,6.0,8,8,2
129,AIC,Aspic,aspic,aspic,Appetizers,Lombardia,,6.0,12,7,3
130,AIC,Boiled wild asparagus,asparagi selvatici lessati,asparagi selvatici lessati,"Vegetables, eggs and legumes",Sardegna,Campidano di Cagliari,6.0,5,4,3
131,AIC,Stewed wild asparagus,asparagi selvatici in umido,asparagi selvatici in umido,"Vegetables, eggs and legumes",Sicilia,Iblea,4.0,5,7,3
132,AIC,Baccalà alla fiorentina,baccalà alla fiorentina,baccalà alla fiorentina,Fish and seafood,Toscana,,4.0,7,10,4
133,AIC,Babà,babà,babà,Desserts and liqueurs,Campania,Napoli,6.0,9,8,6
134,AIC,Salt Cod with Garlic and Parsley,baccalà aglio e prezzemolo,baccalà aglio e prezzemolo,Fish and seafood,Abruzzo,,4.0,4,9,4
135,AIC,Bolognese-style Salt Cod,baccalà alla bolognese,baccalà alla bolognese,Fish and seafood,Emilia Romagna,,4.0,7,9,2
136,AIC,Green asparagus with fried egg,asparagi verdi con uovo all’occhio di bue,asparagi verdi con uovo all’occhio di bue,"Vegetables, eggs and legumes",Emilia Romagna,,4.0,5,6,3
137,AIC,Baccalà sfincione-style,baccalà a sfincione,baccalà a sfincione,Fish and seafood,Sicilia,,4.0,7,7,6
138,AIC,Grilled Baccalà,baccalà alla brace,baccalà alla brace,Fish and seafood,Puglia,,4.0,5,6,5
139,AIC,Baccalà alla Ghiotta,baccalà alla ghiotta,baccalà alla ghiotta,Fish and seafood,Sicilia,,4.0,5,13,3
140,AIC,Baccalà alla Trentina (Trentino-Style Salt Cod),baccalà alla trentina,baccalà alla trentina,Fish and seafood,Trentino Alto Adige,,6.0,9,11,4
141,AIC,baccalà alla vicentina,baccalà alla vicentina,baccalà alla vicentina,Fish and seafood,Veneto,,4.0,7,11,4
142,AIC,Salt Cod with Anchovies,baccalà alle acciughe,baccalà alle acciughe,Fish and seafood,Trentino Alto Adige,,4.0,4,12,4
143,AIC,Salt Cod with Saffron,baccalà allo zafferano,baccalà allo zafferano,Fish and seafood,Sicilia,,4.0,5,8,5
144,AIC,Abruzzo-style salt cod,baccalà all’abruzzese,baccalà all’abruzzese,Fish and seafood,Abruzzo,,4.0,5,9,2
145,AIC,Roasted baccalà (stockfish),baccalà arrosto,baccalà arrosto,Fish and seafood,Veneto,,4.0,6,9,3
146,AIC,Salt cod with cauliflower,baccalà con cavolfiore,baccalà con cavolfiore,Fish and seafood,Calabria,,4.0,5,8,4
147,AIC,Baccalà all'aquilana,baccalà all’aquilana,baccalà all’aquilana,Fish and seafood,Abruzzo,,4.0,4,9,2
148,AIC,Baccalà with potatoes in sauce,baccalà con le patate nel sugo,baccalà con le patate nel sugo,Fish and seafood,Campania,,4.0,6,11,2
149,AIC,Baccalà with celery,baccalà con il sedano,baccalà con il sedano,Fish and seafood,Abruzzo,,4.0,8,10,3
150,AIC,Salt Cod with Leeks,baccalà con i porri,baccalà con i porri,Fish and seafood,Toscana,,4.0,6,9,6
151,AIC,Baccalà with raisins and prunes,baccalà con uvetta e prugne,baccalà con uvetta e prugne,Fish and seafood,Umbria,Perugia,4.0,5,8,1
152,AIC,Salt cod and potatoes Civitavecchia style,baccalà e patate,baccalà e patate,Fish and seafood,Lazio,Civitavecchia,4.0,4,8,3
153,AIC,Baccalà with grilled peppers,baccalà con peperoni alla griglia,baccalà con peperoni alla griglia,Fish and seafood,Abruzzo,,4.0,4,5,3
154,AIC,Salt Cod and Potato Bake,baccalà e patate in tortiera,baccalà e patate in tortiera,Fish and seafood,Basilicata,,4.0,8,7,5
155,AIC,Baked salt cod,baccalà crogiato,baccalà crogiato,Fish and seafood,Toscana,,4.0,7,9,6
156,AIC,Gratinated salt cod,baccalà gratinato,baccalà gratinato,Fish and seafood,Molise,"Civitanova, Campobasso, Termoli",4.0,6,9,4
157,AIC,Fried Baccalà,baccalà fritto,baccalà fritto,Fish and seafood,Lazio,Civitavecchia,4.0,4,6,4
158,AIC,Sweet and Sour Salt Cod,baccalà in agrodolce,baccalà in agrodolce,Fish and seafood,Sardegna,Carloforte,4.0,4,9,4
159,AIC,Trieste-style white baccalà,baccalà in bianco alla triestina,baccalà in bianco alla triestina,Appetizers,Friuli Venezia Giulia,,4.0,8,6,5
160,AIC,Baccalà in frattona,baccalà in frattona,baccalà in frattona,Fish and seafood,Veneto,,4.0,7,6,6
161,AIC,Salt Cod in a Pan,baccalà in tegame,baccalà in tegame,Fish and seafood,Campania,,4.0,4,9,2
162,AIC,bacciocca,bacciocca,bacciocca,"Vegetables, eggs and legumes",Liguria,,4.0,6,10,5
163,AIC,Stewed Salt Cod (Baccalà in Guazzetto),baccalà in guazzetto,baccalà in guazzetto,Fish and seafood,Sardegna,Cagliari,4.0,3,6,2
164,AIC,Shredded Salt Cod,baccalà spinuzzato,baccalà spinuzzato,Appetizers,Lazio,Civitavecchia,4.0,5,10,4
165,AIC,Trieste-style stockfish in red sauce,baccalà in rosso alla triestina,baccalà in rosso alla triestina,Fish and seafood,Friuli Venezia Giulia,,4.0,4,8,2
166,AIC,Battered Salt Cod,baccalà in pastella,baccalà in pastella,Fish and seafood,Abruzzo,,4.0,5,7,4
167,AIC,Christmas Baccalà,baccalà natalizio,baccalà natalizio,Fish and seafood,Abruzzo,,4.0,6,12,3
168,AIC,Baccalà mantecato (Whipped stockfish),baccalà mantecato,baccalà mantecato,Fish and seafood,Veneto,,4.0,5,5,5
169,AIC,baci di dama,baci di dama,baci di dama,Desserts and liqueurs,Piemonte,,40.0,6,6,4
170,AIC,Vicenza-style creamed stockfish,baccalà mantecato alla vicentina,baccalà mantecato alla vicentina,Fish and seafood,Veneto,,4.0,5,6,1
171,AIC,Nun's Kisses,baci delle monache,baci delle monache,Desserts and liqueurs,Abruzzo,,4.0,5,5,5
172,AIC,baci di alassio,baci di alassio,baci di alassio,Desserts and liqueurs,Liguria,,8.0,8,7,8
173,AIC,Guanciale (Baffo) with Tomato,baffo col pomodoro,baffo col pomodoro,"Meat, poultry and game",Umbria,Orvieto,4.0,2,5,2
174,AIC,bagna caoda,bagna caoda,bagna caoda,Sauces,Piemonte,,12.0,6,7,3
175,AIC,Bagnetto Rosso,bagnetto rosso,bagnetto rosso,Sauces,Piemonte,,6.0,4,9,5
176,AIC,Bagnetto verde (Piedmontese green sauce),bagnetto verde,bagnetto verde,Sauces,Piemonte,,6.0,4,8,0
177,AIC,barbagiuai,barbagiuai,barbagiuai,Appetizers,Liguria,,4.0,8,14,11
178,AIC,barchiglia,barchiglia,barchiglia,Desserts and liqueurs,Puglia,,6.0,11,11,12
179,AIC,benzone,benzone,benzone,Desserts and liqueurs,Toscana,,8.0,6,12,6
180,AIC,Bianco e Nero,bianco e nero,bianco e nero,"Meat, poultry and game",Liguria,,4.0,3,9,3
181,AIC,berlingozzo,berlingozzo,berlingozzo,Desserts and liqueurs,Toscana,Lamporecchio,4.0,6,11,4
182,AIC,Bernardi,bernardi,bernardi,Pizzas and savory pies,Liguria,,4.0,5,7,5
183,AIC,Bazott o Bassotti,bazott o bassotti,bazott o bassotti,"Pasta, rice and polenta",Emilia Romagna,Faenza,4.0,5,5,5
184,AIC,Arzignano-style woodcock,beccacce alla arzignanese,beccacce alla arzignanese,"Meat, poultry and game",Veneto,,4.0,6,4,5
185,AIC,bicciolani,bicciolani,bicciolani,Desserts and liqueurs,Piemonte,Vercelli,8.0,6,7,4
186,AIC,biancomangiare,biancomangiare,biancomangiare,Desserts and liqueurs,Campania,,6.0,5,4,5
187,AIC,Biancomangiare - Milk Cream,biancomangiare - crema di latte,biancomangiare - crema di latte,Desserts and liqueurs,Sicilia,,3.0,5,4,5
188,AIC,batsuà,batsuà,batsuà,"Meat, poultry and game",Piemonte,,4.0,9,16,7
189,AIC,Bagnun of Anchovies,bagnun di acciughe,bagnun di acciughe,Fish and seafood,Liguria,,4.0,6,11,3
190,AIC,Baxin di Albenga,baxin di albenga,baxin di albenga,Desserts and liqueurs,Liguria,,8.0,7,5,4
191,AIC,Bigoli with sardelle,bigoli con le sardelle,bigoli con le sardelle,"Pasta, rice and polenta",Veneto,,4.0,4,7,5
192,AIC,bignè di san giuseppe,bignè di san giuseppe,bignè di san giuseppe,Desserts and liqueurs,Lazio,Roma,4.0,10,9,5
193,AIC,Bigoli with duck,bigoli con l’anatra,bigoli con l’anatra,"Pasta, rice and polenta",Veneto,,4.0,6,14,6
194,AIC,Bigoli with goose and porcini mushrooms,bigoli grossi con oca e porcini,bigoli grossi con oca e porcini,"Pasta, rice and polenta",Veneto,,4.0,9,10,4
195,AIC,bigoli in salsa,bigoli in salsa,bigoli in salsa,"Pasta, rice and polenta",Veneto,,4.0,6,6,4
196,AIC,biscotti del lagaccio,biscotti del lagaccio,biscotti del lagaccio,Desserts and liqueurs,Liguria,,8.0,7,5,4
197,AIC,bisciòla,bisciòla,bisciòla,Desserts and liqueurs,Lombardia,,6.0,11,13,9
198,AIC,Christmas Biscione or Bensone,biscione di natale o bensone,biscione di natale o bensone,Desserts and liqueurs,Emilia Romagna,,4.0,4,10,6
199,AIC,Homemade Biscotti,biscotti caserecci,biscotti caserecci,Desserts and liqueurs,Puglia,,8.0,5,9,5
200,AIC,Biscotti di Prato,biscotti di prato,biscotti di prato,Desserts and liqueurs,Toscana,,8.0,6,9,6
201,AIC,Biscotto (Umbrian Cake Loaf),biscotto,biscotto,Desserts and liqueurs,Umbria,,4.0,6,11,7
202,AIC,biscotti veneziani,biscotti veneziani,biscotti veneziani,Desserts and liqueurs,Veneto,,4.0,7,7,3
203,AIC,Versilian biscuits with marzipan,biscotti versiliesi con il marzapane,biscotti versiliesi con il marzapane,Desserts and liqueurs,Toscana,,8.0,6,14,8
204,AIC,Bistecca alla Fiorentina,bistecca alla fiorentina,bistecca alla fiorentina,"Meat, poultry and game",Toscana,,2.0,6,3,4
205,AIC,Blanc Manger,blanc manger,blanc manger,Desserts and liqueurs,Valle d'Aosta,,4.0,5,4,6
206,AIC,Curate's Steak,bistecca del curato,bistecca del curato,"Meat, poultry and game",Umbria,,4.0,3,14,3
207,AIC,Blècs with Rooster Sauce,blècs cul gjal,blècs cul gjal,"Pasta, rice and polenta",Friuli Venezia Giulia,"Mossa, Collio, Cormons",8.0,10,18,6
208,AIC,Blècs,blècs,blècs,"Pasta, rice and polenta",Friuli Venezia Giulia,,4.0,8,9,8
209,AIC,Saffron mozzarella bites,bocconcini di mozzarella allo zafferano,bocconcini di mozzarella allo zafferano,Appetizers,Abruzzo,,4.0,5,6,0
210,AIC,Wild boar bites with baked polenta,bocconcini di cinghiale con polenta al forno,bocconcini di cinghiale con polenta al forno,"Meat, poultry and game",Piemonte,,4.0,11,15,6
211,AIC,Bocconotti alla Gualandi,bocconotti alla gualandi,bocconotti alla gualandi,Appetizers,Emilia Romagna,,4.0,7,8,4
212,AIC,Anchovy bocconotti,bocconotti di acciughe,bocconotti di acciughe,Fish and seafood,Abruzzo,,4.0,6,10,4
