region,ingredient,usage_count
Abruzzo,rosemary sprig,2
Abruzzo,pork meat,2
Abruzzo,lukewarm water,2
Abruzzo,veal pulp,2
Abruzzo,mutton,2
Abruzzo,cream,2
Abruzzo,prosciutto cotto,2
Abruzzo,chicken breast,2
Abruzzo,mosto cotto,2
Abruzzo,sultana raisin,2
Abruzzo,apple,2
Abruzzo,dried chili pepper,2
Abruzzo,goat meat,2
Abruzzo,broth,2
Abruzzo,rice,2
Abruzzo,rigatoni,2
Abruzzo,lupini clam,2
Abruzzo,ground veal,2
Abruzzo,pitted black olive,2
Abruzzo,hard-boiled egg,2
Abruzzo,caciotta,2
Abruzzo,candied fruit,2
Abruzzo,anise seed,2
Abruzzo,bitter almond,2
Abruzzo,sweet almond,2
Abruzzo,hen broth,2
Abruzzo,lentil,2
Abruzzo,scampi tail,2
Abruzzo,sole,2
Abruzzo,fava bean,2
Abruzzo,mushroom,2
Abruzzo,grated parmigiano cheese,2
Abruzzo,mortadella,2
Abruzzo,hen,2
Abruzzo,trout,2
Abruzzo,navelli saffron,2
Abruzzo,caper,2
Abruzzo,frying oil,2
Abruzzo,baccalà,2
Abruzzo,mixed fish,2
Abruzzo,colored sprinkle,2
Abruzzo,cauliflower,2
Abruzzo,egg chitarra pasta,2
Abruzzo,fresh pasta,1
Abruzzo,clof,1
Abruzzo,mixed pork,1
Abruzzo,pipirella,1
Abruzzo,annit,1
Abruzzo,misericordia herb,1
Abruzzo,mixed vegetable,1
Abruzzo,fresh legume,1
Abruzzo,dried legume,1
Abruzzo,cooked wine,1
Abruzzo,fresh tuna belly (ventresca),1
Abruzzo,grape jam,1
Abruzzo,diced tomato,1
Abruzzo,lean lardo,1
Abruzzo,tubetti rigati,1
Abruzzo,salmon trout,1
Abruzzo,skate,1
Abruzzo,mixed chopped pasta ('munnezzaglje'),1
Abruzzo,"mixed herbs (parsley, savory, bay leaf, mint, marjoram)",1
Abruzzo,boiled ham bone,1
Abruzzo,tripe,1
Abruzzo,anchovy fillet,1
Abruzzo,béchamel sauce,1
Abruzzo,semi-aged pecorino cheese,1
Abruzzo,mazzaferrata artichoke,1
Abruzzo,vino cotto,1
Abruzzo,cocoa powder and dark chocolate,1
Abruzzo,truffle,1
Abruzzo,pimpinella,1
Abruzzo,calamint,1
Abruzzo,vignaiola snail,1
Abruzzo,tacconcelli pasta,1
Abruzzo,young turkey,1
Abruzzo,coffee bean,1
Abruzzo,stockfish,1
Abruzzo,whipping cream,1
Abruzzo,villa santa maria punch,1
Abruzzo,sweet dried pepper,1
Abruzzo,large scampi,1
Abruzzo,abruzzese punch,1
Abruzzo,spicy fresh salsiccia,1
Abruzzo,orange liqueur,1
Abruzzo,mixed jam,1
Abruzzo,fresh pecorino cheese,1
Abruzzo,other vegetable,1
Abruzzo,cracked farro,1
Abruzzo,salted caper,1
Abruzzo,baby cuttlefish,1
Abruzzo,shelled pea,1
Abruzzo,cupello artichoke,1
Abruzzo,artichoke heart,1
Abruzzo,crespella,1
Abruzzo,almond or walnut,1
Abruzzo,unsweetened cocoa powder,1
Abruzzo,firm-fleshed fish,1
Abruzzo,l'aquila black truffle paste,1
Abruzzo,boiled potato,1
Abruzzo,wild spinach leaf,1
Abruzzo,salted cod fillet,1
Abruzzo,clove,1
Abruzzo,white onion,1
Abruzzo,celery leaf,1
Abruzzo,shelled borlotti bean,1
Abruzzo,meadow mushroom,1
Abruzzo,fresh sagne pasta,1
Abruzzo,adacciata,1
Abruzzo,grass pea,1
Abruzzo,asparagus,1
Abruzzo,passito wine,1
Abruzzo,orange,1
Abruzzo,cow's milk ricotta,1
Abruzzo,pomegranate seed,1
Abruzzo,fresh must,1
Abruzzo,"beef, lamb, and pork mix",1
Abruzzo,skate fillet,1
Abruzzo,grated sweet pecorino cheese,1
Abruzzo,chicken broth,1
Abruzzo,ground prosciutto,1
Abruzzo,fresh ricotta,1
Abruzzo,wild fennel seed,1
Abruzzo,pork sausage,1
Abruzzo,montepulciano wine,1
Abruzzo,boneless pork shoulder,1
Abruzzo,bouquet garni,1
Abruzzo,boneless mutton leg,1
Abruzzo,chili powder,1
Abruzzo,nettle leaf,1
Abruzzo,octopus,1
Abruzzo,wild spinach,1
Abruzzo,giardiniera (pickled vegetables),1
Abruzzo,salsiccia sausage,1
Abruzzo,sfrizzoli,1
Abruzzo,maraschino liqueur,1
Abruzzo,untreated lemon,1
Abruzzo,pastry cream,1
Abruzzo,candied cherry,1
Abruzzo,coffee,1
Abruzzo,alcherme,1
Abruzzo,rum,1
Abruzzo,grated lemon,1
Abruzzo,yeast,1
Abruzzo,corn flour,1
Abruzzo,potato starch,1
Abruzzo,grated grana padano,1
Abruzzo,muscovy duck,1
Abruzzo,l'aquila black truffle,1
Abruzzo,semi-aged cow's milk cheese,1
Abruzzo,chife,1
Abruzzo,pearled barley,1
Abruzzo,pork blood,1
Abruzzo,mixed pork cut,1
Abruzzo,cooked grape must,1
Abruzzo,curly endive,1
Abruzzo,tubettoni rigati,1
Abruzzo,cascigni,1
Abruzzo,escarole,1
Abruzzo,bread slice,1
Abruzzo,young nettle stalk,1
Abruzzo,mint,1
Abruzzo,eggplant,1
Abruzzo,large endive leaf,1
Abruzzo,lamb coratella,1
Abruzzo,red wine,1
Abruzzo,lean pork,1
Abruzzo,maccheroni,1
Abruzzo,brandy,1
Abruzzo,small scampi,1
Abruzzo,spelt linguine,1
Abruzzo,dried sweet pepper,1
Abruzzo,shrimp tail,1
Abruzzo,dried fig,1
Abruzzo,aged cow's milk cheese,1
Abruzzo,veal,1
Abruzzo,fresh laganelle,1
Abruzzo,river crayfish,1
Abruzzo,aromatic herb powder,1
Abruzzo,pork jowl (guanciale),1
Abruzzo,porcini mushroom,1
Abruzzo,polipetti,1
Abruzzo,calamaretti,1
Abruzzo,boiling water,1
Abruzzo,small hake,1
Abruzzo,medium scampi,1
Abruzzo,river prawn,1
Abruzzo,pitted green olive,1
Abruzzo,minced veal pulp,1
Abruzzo,fusilli,1
Abruzzo,pistachio,1
Abruzzo,truffle shaving,1
Abruzzo,ground meat,1
Abruzzo,puff pastry,1
Abruzzo,smoked pancetta,1
Abruzzo,rabbit liver,1
Abruzzo,pork pulp,1
Abruzzo,boneless rabbit,1
Abruzzo,chili oil,1
Abruzzo,fresh sage leaf,1
Abruzzo,new potato,1
Abruzzo,sole fillet,1
Abruzzo,anise liqueur,1
Abruzzo,fedelini,1
Abruzzo,ripe white or black grape,1
Abruzzo,aromatic herb bouquet,1
Abruzzo,montepulciano d’abruzzo wine,1
Abruzzo,pickle,1
Abruzzo,lamb pluck,1
Abruzzo,lamb offal,1
Abruzzo,desalted salted cod fillet,1
Abruzzo,fresh anellini pasta,1
Abruzzo,prosciutto,1
Abruzzo,pea,1
Abruzzo,sweetbread,1
Abruzzo,tuna in oil,1
Abruzzo,tomato pulp,1
Abruzzo,olive,1
Abruzzo,hazelnut,1
Abruzzo,liqueur,1
Abruzzo,borage leaf,1
Abruzzo,broccoletti (branching broccoli),1
Abruzzo,broccoli,1
Abruzzo,crab,1
Abruzzo,gurnard,1
Abruzzo,skate wing,1
Abruzzo,dogfish steak,1
Abruzzo,monkfish tail,1
Abruzzo,john dory,1
Abruzzo,lamb liver,1
Abruzzo,goat leg,1
Abruzzo,turkey broth,1
Abruzzo,centerbe liqueur,1
Abruzzo,croccante,1
Abruzzo,torrone,1
Abruzzo,sponge cake,1
Abruzzo,citron,1
Abruzzo,oregano,1
Abruzzo,red beet,1
Abruzzo,tuna,1
Abruzzo,anchovy fillet in oil,1
Abruzzo,giardiniera,1
Abruzzo,shallot,1
Abruzzo,sparkling wine,1
Abruzzo,green pepper,1
Abruzzo,brown sugar,1
Basilicata,olive oil,26
Basilicata,salt,24
Basilicata,garlic,11
Basilicata,black pepper,11
Basilicata,onion,10
Basilicata,egg,9
Basilicata,parsley,8
Basilicata,potato,7
Basilicata,chili pepper,6
Basilicata,sugar,6
Basilicata,wheat flour,6
Basilicata,peeled tomato,5
Basilicata,tomato,5
Basilicata,white wine,4
Basilicata,brewer's yeast,3
Basilicata,ground cinnamon,3
Basilicata,water,3
Basilicata,oregano,3
Basilicata,grated pecorino cheese,3
Basilicata,lard,3
Basilicata,meat broth,3
Basilicata,parmigiano cheese,3
Basilicata,cardoncelli mushroom,3
Basilicata,lamb,3
Basilicata,toasted bread slice,2
Basilicata,salted cod,2
Basilicata,dried chili pepper,2
Basilicata,white celery,2
Basilicata,breadcrumb,2
Basilicata,toasted bread,2
Basilicata,celery,2
Basilicata,fresh pecorino cheese,2
Basilicata,pork pulp,2
Basilicata,rosemary,2
Basilicata,pecorino cheese,2
Basilicata,hot water,1
Basilicata,mountain fennel,1
Basilicata,lamb meat,1
Basilicata,alcohol,1
Basilicata,anise,1
Basilicata,fondant sugar,1
Basilicata,milk,1
Basilicata,egg tagliolini,1
Basilicata,honey,1
Basilicata,powdered sugar,1
Basilicata,lemon,1
Basilicata,sweet ricotta,1
Basilicata,warm water,1
Basilicata,frying oil,1
Basilicata,anchovy in oil,1
Basilicata,hard-boiled egg,1
Basilicata,provola,1
Basilicata,salsiccia,1
Basilicata,carrot,1
Basilicata,boston lettuce,1
Basilicata,veal,1
Basilicata,broth,1
Basilicata,chili powder,1
Basilicata,stale bread slice,1
Basilicata,pork rind,1
Basilicata,white bean of rotonda,1
Basilicata,pickled pepper,1
Basilicata,dried chickpea,1
Basilicata,lardo,1
Basilicata,sausage,1
Basilicata,basil,1
Basilicata,chicken,1
Basilicata,caper,1
Basilicata,gaeta olive,1
Basilicata,pancetta,1
Basilicata,catalogna chicory,1
Basilicata,pork pancetta,1
Basilicata,fava bean,1
Basilicata,artichoke,1
Basilicata,eggplant,1
Basilicata,bell pepper,1
Basilicata,aged pecorino cheese,1
Basilicata,cardoon,1
Basilicata,bay leaf,1
Basilicata,kid goat,1
Basilicata,black olive,1
Basilicata,chard,1
Basilicata,bread dough,1
Basilicata,vanillin,1
Basilicata,strega liqueur,1
Basilicata,mandarin zest,1
Basilicata,lemon zest,1
Basilicata,unsweetened cocoa powder,1
Basilicata,dark chocolate,1
Basilicata,chestnut,1
Basilicata,chickpea,1
Basilicata,bucatini,1
Basilicata,stale bread,1
Basilicata,"minced parsley, thyme, and rosemary",1
Calabria,salt,119
Calabria,olive oil,112
Calabria,garlic,52
Calabria,parsley,46
Calabria,black pepper,44
Calabria,onion,37
Calabria,chili pepper,32
Calabria,lard,29
Calabria,wheat flour,29
Calabria,egg,24
Calabria,tomato,24
Calabria,basil,22
Calabria,breadcrumb,21
Calabria,sugar,20
Calabria,pecorino cheese,20
Calabria,celery,18
Calabria,potato,15
Calabria,bay leaf,14
Calabria,water,14
Calabria,white wine,13
Calabria,peeled tomato,13
Calabria,oregano,12
Calabria,grated pecorino cheese,11
Calabria,bell pepper,11
Calabria,caper,10
Calabria,ground cinnamon,10
Calabria,lemon,10
Calabria,vinegar,9
Calabria,tomato sauce,9
Calabria,eggplant,9
Calabria,butter,8
Calabria,tropea onion,7
Calabria,carrot,7
Calabria,tomato passata,7
Calabria,honey,7
Calabria,red wine,7
Calabria,hard-boiled egg,7
Calabria,brewer's yeast,6
Calabria,sausage,6
Calabria,orange,6
Calabria,pancetta,5
Calabria,tomato paste,5
Calabria,provola,5
Calabria,almond,5
Calabria,rosemary,4
Calabria,frying oil,4
Calabria,sage,4
Calabria,anchovy,4
Calabria,bread dough,4
Calabria,zucchini,4
Calabria,anise liqueur,4
Calabria,rice,4
Calabria,tuna in oil,4
Calabria,clove,4
Calabria,pitted black olive,4
Calabria,walnut,4
Calabria,lemon juice,3
Calabria,porcini mushroom,3
Calabria,lardo,3
Calabria,meat broth,3
Calabria,mint,3
Calabria,powdered sugar,3
Calabria,mozzarella,3
Calabria,artichoke,3
Calabria,baking soda,3
Calabria,guanciale,3
Calabria,warm water,3
Calabria,stockfish,3
Calabria,salted caper,3
Calabria,spaghetti,3
Calabria,milk,3
Calabria,salami,3
Calabria,ground pork,3
Calabria,polenta flour,3
Calabria,escarole,3
Calabria,swordfish,3
Calabria,parmigiano cheese,3
Calabria,dried fig,3
Calabria,nutmeg,3
Calabria,apple,2
Calabria,dried fava bean,2
Calabria,chili powder,2
Calabria,stale bread,2
Calabria,toasted bread,2
Calabria,shallot,2
Calabria,pork meat,2
Calabria,chickpea,2
Calabria,wild fennel,2
Calabria,homemade tagliatelle,2
Calabria,lemon zest,2
Calabria,orange blossom honey,2
Calabria,cuttlefish,2
Calabria,prosciutto cotto,2
Calabria,ricotta,2
Calabria,broth,2
Calabria,dried porcini mushroom,2
Calabria,caciocavallo,2
Calabria,pork rind,2
Calabria,pork,2
Calabria,new potato,2
Calabria,ground beef,2
Calabria,cabbage,2
Calabria,fresh pecorino cheese,2
Calabria,orange zest,2
Calabria,raisin,2
Calabria,baking powder,2
Calabria,black olive,2
Calabria,diced tomato,2
Calabria,vermicelli,2
Calabria,salted ricotta,2
Calabria,sweet pepper,2
Calabria,grated parmigiano cheese,2
Calabria,chard,2
Calabria,capon,2
Calabria,red wine vinegar,2
Calabria,dark chocolate,2
Calabria,candied citron,2
Calabria,maccheroni,2
Calabria,pectin-based jam setting mix,1
Calabria,bergamot pulp,1
Calabria,toasted bread slice,1
Calabria,clof,1
Calabria,tomato pulp,1
Calabria,borage leaf,1
Calabria,wild asparagus,1
Calabria,yellow pumpkin,1
Calabria,cold water,1
Calabria,vanilla sugar,1
Calabria,semolina,1
Calabria,sweetened cocoa powder,1
Calabria,waxy potato,1
Calabria,veal tripe,1
Calabria,tripe,1
Calabria,sheep tripe,1
Calabria,spicy sila salami,1
Calabria,anchovy fillet in oil,1
Calabria,tuna,1
Calabria,rosemary sprig,1
Calabria,"""pipi russu""",1
Calabria,lagane,1
Calabria,pork pancetta,1
Calabria,bergamot,1
Calabria,chocolate,1
Calabria,baked black olive,1
Calabria,thick-skinned orange,1
Calabria,goat meat,1
Calabria,beef shank,1
Calabria,soaked stockfish,1
Calabria,salted olive,1
Calabria,swordfish belly,1
Calabria,sole,1
Calabria,pork jowl,1
Calabria,vanilla baking powder,1
Calabria,black bread,1
Calabria,broccoli rabe,1
Calabria,hot water,1
Calabria,fresh oregano,1
Calabria,spicy salami,1
Calabria,beef fillet,1
Calabria,wine,1
Calabria,clam,1
Calabria,squid,1
Calabria,medium pasta,1
Calabria,prosciutto crudo,1
Calabria,rigatoni,1
Calabria,olive oil or lard,1
Calabria,brandy or rum,1
Calabria,ground meat,1
Calabria,wild fennel seed,1
Calabria,smoked pancetta,1
Calabria,quail,1
Calabria,ciambella di pane casereccio,1
Calabria,veal pulp,1
Calabria,pork pulp,1
Calabria,mosto cotto,1
Calabria,chopped parsley,1
Calabria,rositi mushroom,1
Calabria,fennel seed,1
Calabria,green tomato,1
Calabria,pork crackling,1
Calabria,calabrian broccoli,1
Calabria,pizza dough,1
Calabria,sheep's milk ricotta,1
Calabria,sardine,1
Calabria,pork cracklings (ciccioli),1
Calabria,cooked pork rind,1
Calabria,salsiccia,1
Calabria,cooked wine,1
Calabria,orange liqueur,1
Calabria,sùrici,1
Calabria,pickled caper,1
Calabria,snail,1
Calabria,perciatelli or bucatini pasta,1
Calabria,beef or pork ragù,1
Calabria,paccheri (or rigatoni),1
Calabria,ditalini pasta,1
Calabria,salsiccia or soppressata,1
Calabria,penne or ziti pasta,1
Calabria,anchovy in oil,1
Calabria,paccheri,1
Calabria,zucchini flower,1
Calabria,pasta,1
Calabria,green bean,1
Calabria,black broccoli,1
Calabria,short pasta,1
Calabria,cooked ham or mortadella,1
Calabria,fior di latte,1
Calabria,long eggplant,1
Calabria,ground veal,1
Calabria,orange marmalade,1
Calabria,sultana raisin,1
Calabria,lung,1
Calabria,heart,1
Calabria,beef tripe (centopelli),1
Calabria,toasted almond and walnut,1
Calabria,cooked wine must,1
Calabria,pitta bread,1
Calabria,dried bean,1
Calabria,spinach,1
Calabria,chicory,1
Calabria,'nduja,1
Calabria,aged pecorino cheese,1
Calabria,zucchini with flower,1
Calabria,long squash,1
Calabria,zucchini shoot,1
Calabria,fresh wild fennel,1
Calabria,salted lard,1
Calabria,broccoli floret,1
Calabria,mountain bean,1
Calabria,mixed green,1
Calabria,green olive,1
Calabria,cod,1
Calabria,cauliflower,1
Calabria,soaked salted cod,1
Calabria,bread,1
Calabria,meat slice,1
Calabria,broccoli,1
Calabria,kid goat caul fat,1
Calabria,kid goat intestine,1
Calabria,kid goat liver and lung,1
Calabria,beef broth,1
Calabria,herbs,1
Calabria,prosciutto,1
Calabria,cappello del prete (beef shoulder clod),1
Calabria,prune,1
Calabria,chestnut,1
Calabria,sandwich bread,1
Calabria,sliced almond,1
Calabria,fresh shelled pistachio,1
Calabria,mixed ground veal and pork,1
Calabria,marsala wine,1
Calabria,anchovy fillet,1
Calabria,young goat meat,1
Calabria,fresh oregano sprig,1
Calabria,kid goat leg,1
Calabria,suckling kid goat,1
Calabria,local artichoke,1
Calabria,boiling water,1
Calabria,mixed cured meat,1
Calabria,bouquet garni,1
Calabria,sirloin steak,1
Calabria,grouper,1
Calabria,beaten egg,1
Calabria,vanillin or other flavoring,1
Calabria,sesame seed,1
Calabria,pitted green olive,1
Calabria,calabrian oval orange,1
Calabria,pork crackling (curcuci),1
Calabria,wild boar saddle,1
Calabria,wild boar,1
Calabria,lamb leg,1
Calabria,saury pike,1
Calabria,short macaroni,1
Calabria,verbena,1
Calabria,ground clove,1
Calabria,shelled almond,1
Calabria,sunflower oil,1
Calabria,grated orange peel,1
Calabria,pork caul fat,1
Calabria,pork liver,1
Calabria,passito wine,1
Calabria,aromatic herbs for roasting,1
Calabria,scallion,1
Calabria,strawberry,1
Calabria,pork fillet,1
Calabria,parmigiano or pecorino cheese,1
Calabria,cherry tomato,1
Calabria,lattaruli mushroom,1
Calabria,smoked provola,1
Calabria,moscato wine,1
Calabria,wine vinegar,1
Calabria,fresh spicy sausage,1
Calabria,savoy cabbage leaf,1
Calabria,seasonal wild green,1
Calabria,white bean,1
Calabria,salt and pepper,1
Calabria,egg yolk,1
Calabria,beef,1
Calabria,mushroom,1
Calabria,pea,1
Calabria,linguine pasta,1
Calabria,sun-dried tomato in oil,1
Calabria,linguine,1
Calabria,alcohol,1
Calabria,licorice powder,1
Calabria,lettuce leaf,1
Calabria,dormituri snail,1
Calabria,fresh lard,1
Campania,salt,137
Campania,olive oil,107
Campania,garlic,70
Campania,black pepper,67
Campania,parsley,58
Campania,wheat flour,44
Campania,egg,40
Campania,sugar,34
Campania,onion,33
Campania,butter,30
Campania,water,27
Campania,lard,27
Campania,chili pepper,24
Campania,parmigiano cheese,23
Campania,white wine,21
Campania,basil,20
Campania,breadcrumb,20
Campania,milk,19
Campania,brewer's yeast,17
Campania,caper,16
Campania,peeled tomato,15
Campania,egg yolk,13
Campania,tomato paste,12
Campania,oregano,12
Campania,ricotta,12
Campania,grated parmigiano cheese,12
Campania,lemon,11
Campania,potato,10
Campania,celery,10
Campania,frying oil,10
Campania,vinegar,10
Campania,powdered sugar,10
Campania,mozzarella,10
Campania,tomato,10
Campania,tomato sauce,9
Campania,lardo,8
Campania,sausage,8
Campania,pancetta,7
Campania,raisin,7
Campania,pine nut,7
Campania,stale bread,7
Campania,salted anchovy,7
Campania,cherry tomato,7
Campania,red wine,7
Campania,pecorino cheese,7
Campania,bell pepper,6
Campania,warm water,6
Campania,lemon zest,6
Campania,tomato passata,6
Campania,carrot,6
Campania,bay leaf,6
Campania,gaeta olive,6
Campania,salt and pepper,6
Campania,fiordilatte,6
Campania,pea,5
Campania,anchovy,5
Campania,egg white,5
Campania,eggplant,5
Campania,prosciutto cotto,5
Campania,rosemary,5
Campania,cauliflower,4
Campania,zucchini,4
Campania,clam,4
Campania,mussel,4
Campania,marjoram,4
Campania,nutmeg,4
Campania,prosciutto,4
Campania,candied orange,4
Campania,prosciutto crudo,4
Campania,anchovy in oil,4
Campania,rice,4
Campania,cheese,4
Campania,salame napoletano,4
Campania,rum,4
Campania,walnut,3
Campania,dark chocolate,3
Campania,artichoke,3
Campania,mint,3
Campania,shrimp,3
Campania,vermicelli,3
Campania,ground beef,3
Campania,hard-boiled egg,3
Campania,lemon juice,3
Campania,honey,3
Campania,spaghetti,3
Campania,veal,3
Campania,vanilla,3
Campania,semolina,3
Campania,candied fruit,3
Campania,smooth escarole,3
Campania,polenta flour,3
Campania,anchovy fillet,3
Campania,gaeta black olive,3
Campania,ground cinnamon,3
Campania,pasta mista,3
Campania,lukewarm water,3
Campania,chestnut,3
Campania,ciccioli,3
Campania,beef,3
Campania,scamorza,3
Campania,almond,2
Campania,quince,2
Campania,fava bean,2
Campania,salted pork rind,2
Campania,prosciutto bone,2
Campania,ground veal,2
Campania,cardoon,2
Campania,chicken broth,2
Campania,soaked salted cod,2
Campania,yeast,2
Campania,baby octopus,2
Campania,caciotta,2
Campania,squid,2
Campania,ground meat,2
Campania,candied pumpkin,2
Campania,candied citron,2
Campania,grated grana padano,2
Campania,cuttlefish,2
Campania,colatura di alici,2
Campania,dried mushroom,2
Campania,pork rib,2
Campania,pork,2
Campania,cinnamon oil,2
Campania,black gaeta olive,2
Campania,black olive,2
Campania,octopus,2
Campania,provolone,2
Campania,mortadella,2
Campania,provola or mozzarella,2
Campania,buffalo mozzarella,2
Campania,sultana raisin,2
Campania,bucatini,2
Campania,anchovy fillet in oil,2
Campania,chicken breast,2
Campania,orange zest,2
Campania,bean,2
Campania,papaccella pepper,2
Campania,pecorino romano,2
Campania,unsweetened cocoa powder,2
Campania,shelled pea,2
Campania,orange liqueur,2
Campania,whipping cream,2
Campania,cervellatine,2
Campania,lettuce,2
Campania,starch,2
Campania,beef slice,2
Campania,smoked provola,2
Campania,curly endive,2
Campania,white wine vinegar,2
Campania,apple,2
Campania,colored sprinkle,1
Campania,white grape,1
Campania,pomegranate seed,1
Campania,soft wheat,1
Campania,vino cotto,1
Campania,asparagus,1
Campania,small fresh onion,1
Campania,parmigiano cheese rind,1
Campania,escarole,1
Campania,dried bean,1
Campania,scallion,1
Campania,prune,1
Campania,dried fig,1
Campania,yellow pumpkin,1
Campania,tuna belly in oil,1
Campania,maccheroni della regina or pennine pasta,1
Campania,ziti,1
Campania,salted cod,1
Campania,boiled salted cod,1
Campania,sour cherry jam,1
Campania,pastry cream,1
Campania,olive oil or butter,1
Campania,green olive,1
Campania,red mullet,1
Campania,cigoli,1
Campania,baking powder,1
Campania,gruyère,1
Campania,perciatelli pasta,1
Campania,marsala wine,1
Campania,maccheroncelli pasta,1
Campania,beef sinew,1
Campania,fat and meat scrap,1
Campania,pork belly,1
Campania,canned pea,1
Campania,semi-aged pecorino cheese,1
Campania,black summer truffle,1
Campania,anise liqueur,1
Campania,baker's ammonia,1
Campania,pisto,1
Campania,fresh marjoram,1
Campania,sprinkles (diavolilli),1
Campania,sparkling water,1
Campania,stoccafisso,1
Campania,soaked stockfish,1
Campania,green bean,1
Campania,shelled bean,1
Campania,seafood mix,1
Campania,sea bass,1
Campania,boiling water,1
Campania,stewing veal,1
Campania,rosemary sprig,1
Campania,pork offal,1
Campania,grana padano,1
Campania,clove,1
Campania,mezzanella pasta,1
Campania,cold water,1
Campania,artichoke heart,1
Campania,white pepper,1
Campania,fish or vegetable,1
Campania,fresh mint,1
Campania,mussel and veraci clam,1
Campania,ragù sauce,1
Campania,mozzarella or provola,1
Campania,cured salami,1
Campania,fried meatball,1
Campania,soft bread crumb,1
Campania,sardine,1
Campania,beef (lacerto/girello cut),1
Campania,pine nut and walnut,1
Campania,pitted gaeta olive,1
Campania,pitted green olive,1
Campania,basil sprig,1
Campania,parsley sprig,1
Campania,salted pantelleria caper,1
Campania,pitted gaeta black olive,1
Campania,green cauliflower,1
Campania,rigatoni,1
Campania,salted pork belly,1
Campania,mugnoli (turnip tops),1
Campania,pork ham,1
Campania,beef pulp,1
Campania,castrato lamb,1
Campania,parsley or oregano,1
Campania,black olive and caper,1
Campania,grated pecorino cheese,1
Campania,puff pastry,1
Campania,mushroom,1
Campania,ham,1
Campania,friarielli (tender broccoli rabe),1
Campania,tropea onion,1
Campania,cherry pepper,1
Campania,pitted black olive,1
Campania,bread slice,1
Campania,large black truffle,1
